external_urls,followers,genres,id,name,popularity,uri
https://open.spotify.com/artist/1zNqDE7qDGCsyzJwohVaoX,12037981,pop,1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,78,spotify:artist:1zNqDE7qDGCsyzJwohVaoX
https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O,31321682,"desi hip hop, filmi, tamil hip hop",4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander,83,spotify:artist:4zCH9qm4R2DADamUHMCa6O
https://open.spotify.com/artist/4NJhFmfw43RLBLjQvxDuRS,5446200,"classical, classical era",4NJhFmfw43RLBLjQvxDuRS,Wolfgang Amadeus Mozart,74,spotify:artist:4NJhFmfw43RLBLjQvxDuRS
https://open.spotify.com/artist/21E3waRsmPlU7jZsS13rcj,9026501,"dance pop, pop, r&b, urban contemporary",21E3waRsmPlU7jZsS13rcj,Ne-Yo,81,spotify:artist:21E3waRsmPlU7jZsS13rcj
https://open.spotify.com/artist/4AVFqumd2ogHFlRbKIjp1t,3922996,"dance pop, edm, pop, pop dance, progressive electro house",4AVFqumd2ogHFlRbKIjp1t,Alesso,75,spotify:artist:4AVFqumd2ogHFlRbKIjp1t
https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq,22860417,"puerto rican pop, reggaeton, trap latino, urbano latino",1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,89,spotify:artist:1mcTU81TzQhprhouKaTkpq
https://open.spotify.com/artist/4D75GcNG95ebPtNvoNVXhz,3921994,"big room, dance pop, dutch house, edm, electro house, pop dance, progressive electro house",4D75GcNG95ebPtNvoNVXhz,AFROJACK,74,spotify:artist:4D75GcNG95ebPtNvoNVXhz
https://open.spotify.com/artist/5rkVyNGXEgeUqKkB5ccK83,3143875,"dance pop, hip pop, r&b, urban contemporary",5rkVyNGXEgeUqKkB5ccK83,Ashanti,71,spotify:artist:5rkVyNGXEgeUqKkB5ccK83
https://open.spotify.com/artist/0fTSzq9jAh4c36UVb4V7CB,449181,"gen z singer-songwriter, singer-songwriter pop",0fTSzq9jAh4c36UVb4V7CB,Alex Warren,73,spotify:artist:0fTSzq9jAh4c36UVb4V7CB
https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR,11809600,"canadian contemporary r&b, canadian pop, pop",2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,72,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR
https://open.spotify.com/artist/6rJqqRce0Kvo2dJUXoHleC,1434237,"contemporary country, country, country road, country rock",6rJqqRce0Kvo2dJUXoHleC,Alabama,66,spotify:artist:6rJqqRce0Kvo2dJUXoHleC
